city,state_abbrev,city_pop
New York,NY,8478072
Los Angeles,CA,3878704
Chicago,IL,2721308
Houston,TX,2390125
Phoenix,AZ,1673164
Philadelphia,PA,1573916
San Antonio,TX,1526656
San Diego,CA,1404452
Dallas,TX,1326087
Jacksonville,FL,1009833
Fort Worth,TX,1008106
San Jose,CA,997368
Austin,TX,993588
Charlotte,NC,943476
Columbus,OH,933263
Indianapolis,IN,891484
San Francisco,CA,827526
Seattle,WA,780995
Denver,CO,729019
Oklahoma City,OK,712919
Nashville-Davidson metropolitan government,TN,704963
Washington,DC,702250
El Paso,TX,681723
Las Vegas,NV,678922
Boston,MA,673458
Detroit,MI,645705
Louisville/Jefferson County metro government,KY,640796
Portland,OR,635749
Memphis,TN,610919
Baltimore,MD,568271
Milwaukee,WI,563531
Albuquerque,NM,560326
Tucson,AZ,554013
Fresno,CA,550105
Sacramento,CA,535798
Atlanta,GA,520070
Mesa,AZ,517151
Kansas City,MO,516032
Raleigh,NC,499825
Colorado Springs,CO,493554
Omaha,NE,489265
Miami,FL,487014
Virginia Beach,VA,454808
Long Beach,CA,450901
Oakland,CA,443554
Minneapolis,MN,428579
Bakersfield,CA,417468
Tulsa,OK,415154
Tampa,FL,414547
Arlington,TX,403672
Aurora,CO,403130
Wichita,KS,400991
Cleveland,OH,365379
New Orleans,LA,362701
Henderson,NV,350039
Urban Honolulu CDP,HI,344967
Anaheim,CA,344561
Orlando,FL,334854
Lexington-Fayette urban county,KY,329437
Stockton,CA,324975
Riverside,CA,323757
Irvine,CA,318683
Corpus Christi,TX,317317
Newark,NJ,317303
Santa Ana,CA,316184
Cincinnati,OH,314915
Pittsburgh,PA,307668
St. Paul,MN,307465
Greensboro,NC,307381
Jersey City,NJ,302824
Durham,NC,301870
Lincoln,NE,300619
North Las Vegas,NV,294034
Plano,TX,293286
Anchorage municipality,AK,289600
Gilbert,AZ,288790
Madison,WI,285300
Reno,NV,281714
Chandler,AZ,281231
St. Louis,MO,279695
Chula Vista,CA,278546
Buffalo,NY,276617
Fort Wayne,IN,273203
Lubbock,TX,272086
St. Petersburg,FL,267102
Toledo,OH,265638
Laredo,TX,261260
Port St. Lucie,FL,258575
Glendale,AZ,258143
Irving,TX,258060
Winston-Salem,NC,255769
Chesapeake,VA,254997
Garland,TX,250431
Scottsdale,AZ,246170
Boise City,ID,237963
Hialeah,FL,235388
Frisco,TX,235208
Richmond,VA,233655
Cape Coral,FL,233025
Norfolk,VA,231105
Spokane,WA,230609
Huntsville,AL,230402
Santa Clarita,CA,229159
Tacoma,WA,228202
Fremont,CA,228192
McKinney,TX,227526
San Bernardino,CA,224775
Baton Rouge,LA,220907
Modesto,CA,220592
Fontana,CA,218455
Salt Lake City,UT,217783
Moreno Valley,CA,213919
Des Moines,IA,213096
Worcester,MA,211286
Yonkers,NY,211040
Fayetteville,NC,209496
Sioux Falls,SD,209289
Grand Prairie,TX,207331
Rochester,NY,207282
Tallahassee,FL,205089
Little Rock,AR,204774
Amarillo,TX,203729
Overland Park,KS,202893
Columbus,GA,201830
Augusta-Richmond County consolidated government,GA,201737
Mobile,AL,201367
Oxnard,CA,200616
Grand Rapids,MI,200117
Peoria,AZ,199924
Vancouver,WA,198992
Knoxville,TN,198722
Birmingham,AL,196357
Montgomery,AL,195818
Providence,RI,194706
Huntington Beach,CA,193151
Brownsville,TX,191967
Chattanooga,TN,191496
Fort Lauderdale,FL,190641
Tempe,AZ,190114
Akron,OH,189664
Glendale,CA,187823
Clarksville,TN,185690
Ontario,CA,185285
Newport News,VA,183056
Elk Grove,CA,182797
Cary,NC,182659
Aurora,IL,180710
Salem,OR,180406
Pembroke Pines,FL,179326
Eugene,OR,178786
Santa Rosa,CA,177524
Rancho Cucamonga,CA,176675
Shreveport,LA,176578
Garden Grove,CA,172361
Oceanside,CA,170941
Fort Collins,CO,170924
Springfield,MO,170596
Murfreesboro,TN,168387
Surprise,AZ,167564
Lancaster,CA,167426
Denton,TX,165998
Roseville,CA,163304
Palmdale,CA,162536
Corona,CA,161540
Salinas,CA,160783
Killeen,TX,160616
Paterson,NJ,160463
Alexandria,VA,159102
Hollywood,FL,159073
Hayward,CA,158440
Charleston,SC,157665
Macon-Bibb County,GA,157056
Lakewood,CO,156868
Sunnyvale,CA,156792
Kansas City,KS,156752
Springfield,MA,154888
Bellevue,WA,154377
Naperville,IL,153124
Joliet,IL,151837
Bridgeport,CT,151599
Mesquite,TX,150140
Pasadena,TX,149617
Olathe,KS,149035
Escondido,CA,148847
Savannah,GA,148808
McAllen,TX,148782
Gainesville,FL,148720
Pomona,CA,147966
Rockford,IL,147486
Thornton,CO,146689
Waco,TX,146608
Visalia,CA,146271
Syracuse,NY,146097
Columbia,SC,144788
Midland,TX,143687
Miramar,FL,143242
Palm Bay,FL,142023
Jackson,MS,141449
Coral Springs,FL,140808
Victorville,CA,140721
Elizabeth,NJ,140413
Fullerton,CA,140054
Meridian,ID,139740
Torrance,CA,139576
Stamford,CT,139134
West Valley City,UT,138144
Orange,CA,137941
Cedar Rapids,IA,137904
Warren,MI,137686
Hampton,VA,137596
New Haven,CT,137562
Pasadena,CA,137195
Kent,WA,136588
Dayton,OH,136346
Fargo,ND,136285
Lewisville,TX,135983
Carrollton,TX,135456
Round Rock,TX,135359
Sterling Heights,MI,134342
Santa Clara,CA,133132
Norman,OK,131010
Columbia,MO,130900
Abilene,TX,130501
Pearland,TX,129620
Athens-Clarke County unified government,GA,128691
College Station,TX,128023
Clovis,CA,127993
West Palm Beach,FL,127744
Allentown,PA,127138
North Charleston,SC,126005
Simi Valley,CA,125778
Topeka,KS,125467
Wilmington,NC,125284
Lakeland,FL,124990
Thousand Oaks,CA,124229
Concord,CA,124016
Rochester,MN,123624
Vallejo,CA,123475
Ann Arbor,MI,122925
Broken Arrow,OK,122756
Fairfield,CA,122646
Lafayette,LA,122280
Hartford,CT,122129
Arvada,CO,121873
Berkeley,CA,121749
Independence,MO,121629
Billings,MT,121483
Cambridge,MA,121186
Lowell,MA,120418
Odessa,TX,119748
High Point,NC,118601
League City,TX,118456
Antioch,CA,118453
Richardson,TX,118221
Goodyear,AZ,118186
Pompano Beach,FL,118104
Nampa,ID,117350
Menifee,CA,117041
Las Cruces,NM,116998
Clearwater,FL,116811
West Jordan,UT,116688
New Braunfels,TX,116477
Manchester,NH,116386
Miami Gardens,FL,116173
Waterbury,CT,115908
Provo,UT,115479
Evansville,IN,115395
Richmond,CA,115353
Westminster,CO,115302
Elgin,IL,114701
Conroe,TX,114581
Greeley,CO,114363
Lansing,MI,114336
Buckeye,AZ,114334
Tuscaloosa,AL,114288
Allen,TX,113746
Carlsbad,CA,113575
Everett,WA,113011
Springfield,IL,112949
Beaumont,TX,112893
Murrieta,CA,112539
Rio Rancho,NM,112524
Temecula,CA,112431
Concord,NC,112395
Tyler,TX,112219
Davie,FL,112052
South Fulton,GA,112003
Peoria,IL,111696
Sparks,NV,111520
Gresham,OR,111507
Santa Maria,CA,111346
Pueblo,CO,111166
Hillsboro,OR,110337
Sugar Land,TX,109851
San Buenaventura (Ventura),CA,109831
Downey,CA,109368
Costa Mesa,CA,109131
Centennial,CO,108853
Edinburg,TX,108733
Spokane Valley,WA,108267
Jurupa Valley,CA,108154
Bend,OR,106926
West Covina,CA,106920
Boulder,CO,106803
Palm Coast,FL,106729
Lee's Summit,MO,106419
Dearborn,MI,106377
Green Bay,WI,106311
St. George,UT,106288
Brockton,MA,105788
Renton,WA,105543
Sandy Springs,GA,105505
Rialto,CA,104918
El Monte,CA,104639
Vacaville,CA,103994
Fishers,IN,103986
South Bend,IN,103713
Carmel,IN,103606
Yuma,AZ,103559
Burbank,CA,103533
Lynn,MA,103489
Quincy,MA,103434
El Cajon,CA,103291
Fayetteville,AR,103134
Suffolk,VA,103105
San Mateo,CA,103006
Chico,CA,102911
Inglewood,CA,102774
Wichita Falls,TX,102372
Boca Raton,FL,102238
Hesperia,CA,101836
Daly City,CA,101418
Georgetown,TX,101344
New Bedford,MA,101318
Albany,NY,101317
Davenport,IA,100938
Plantation,FL,100694
Deltona,FL,100513
Federal Way,WA,100252
San Angelo,TX,100159
Tracy,CA,100136
Sunrise,FL,100128
Fort Myers,FL,99918
Longmont,CO,99818
Kenosha,WI,99578
Vista,CA,99322
Edmond,OK,99040
Beaverton,OR,98302
Norwalk,CA,98230
Roanoke,VA,97912
Yakima,WA,97390
Lawrence,KS,97271
Orem,UT,96646
San Marcos,CA,96620
Avondale,AZ,96609
Portsmouth,VA,96482
Temple,TX,96267
Merced,CA,96073
Reading,PA,96000
Bellingham,WA,95860
Mount Pleasant,SC,95604
Kirkland,WA,95499
O'Fallon,MO,95355
Greenville,NC,95138
Asheville,NC,94992
Fall River,MA,94689
Manteca,CA,94292
Indio,CA,94275
Chino,CA,94010
Norwalk,CT,93661
Redding,CA,93502
Lehi,UT,93446
Livonia,MI,93113
Hoover,AL,93013
Erie,PA,92940
Hemet,CA,92912
North Port,FL,92875
Sandy,UT,92840
Roswell,GA,92227
Champaign,IL,91961
Nashua,NH,91851
Mission Viejo,CA,91601
Bryan,TX,91541
Carson,CA,91358
Trenton,NJ,91193
Compton,CA,91129
South Gate,CA,90805
Santa Monica,CA,90729
Newton,MA,90700
Santa Fe,NM,90551
Fort Smith,AR,90507
Deerfield Beach,FL,90507
Clifton,NJ,90322
Lawton,OK,90027
Westminster,CA,89537
Frederick,MD,89537
Springdale,AR,89368
Lawrence,MA,89332
Troy,MI,89209
Franklin,TN,89142
Danbury,CT,88692
Ogden,UT,88656
Mission,TX,88574
Waukegan,IL,88570
Bloomington,MN,88344
Folsom,CA,88091
Duluth,MN,87986
Melbourne,FL,87561
Leander,TX,87511
Mountain View,CA,87316
Santa Barbara,CA,87291
Lake Forest,CA,87159
Citrus Heights,CA,86909
Sioux City,IA,86875
Kennewick,WA,86728
San Leandro,CA,86571
Medford,OR,86301
Warner Robins,GA,86199
South Jordan,UT,86156
Daytona Beach,FL,86015
Baytown,TX,86004
San Ramon,CA,85924
Homestead,FL,85796
Whittier,CA,85589
Gastonia,NC,85535
Auburn,WA,85513
New Rochelle,NY,85512
Livermore,CA,84867
Kissimmee,FL,84756
Cranston,RI,84448
Layton,UT,84348
Farmington Hills,MI,84173
Rancho Cordova,CA,84113
Queen Creek,AZ,83781
Auburn,AL,83757
Longview,TX,83668
Hawthorne,CA,83633
Doral,FL,83625
Warwick,RI,83554
Miami Beach,FL,83251
Castle Rock,CO,83213
Boynton Beach,FL,83095
Perris,CA,83032
Redwood City,CA,82982
Newport Beach,CA,82970
Brooklyn Park,MN,82893
Westland,MI,82745
Buena Park,CA,82611
Jonesboro,AR,82384
Largo,FL,82337
Redmond,WA,82195
Somerville,MA,82149
Cicero,IL,82090
Pasco,WA,81724
Johns Creek,GA,81167
Lake Charles,LA,81157
Pharr,TX,81142
Loveland,CO,81102
Mansfield,TX,80803
Woodbury,MN,80596
Lynchburg,VA,80301
Alhambra,CA,80279
Flower Mound,TX,79990
Bloomington,IN,79986
Rapid City,SD,79894
Milpitas,CA,79746
Flint,MI,79735
Upland,CA,79684
Bethlehem,PA,79453
Parma,OH,79350
Bloomington,IL,79232
Bowling Green,KY,79076
Tustin,CA,78863
Alameda,CA,78795
Missouri City,TX,78582
Wyoming,MI,78559
Plymouth,MN,78551
Lakewood,CA,78494
Cedar Park,TX,78380
Rochester Hills,MI,78330
Broomfield,CO,78323
Mableton,GA,78314
Missoula,MT,78204
Racine,WI,78057
Lakeville,MN,77971
Bismarck,ND,77772
Flagstaff,AZ,77539
Chino Hills,CA,77418
Pittsburg,CA,77131
Schaumburg village,IL,77099
Pawtucket,RI,76996
Napa,CA,76921
Southfield,MI,76874
Ankeny,IA,76727
Iowa City,IA,76710
Maricopa,AZ,76654
Lauderhill,FL,76627
Marysville,WA,76209
Hammond,IN,76030
Evanston,IL,76006
Apex,NC,75977
Scranton,PA,75905
New Britain,CT,75871
Rock Hill,SC,75798
Bellflower,CA,75716
Pleasanton,CA,75664
Rogers,AR,75639
Arlington Heights village,IL,75596
Appleton,WI,75344
Noblesville,IN,75239
Blaine,MN,75172
Tamarac,FL,75147
Rocklin,CA,75129
Apple Valley,CA,75029
Bolingbrook village,IL,74756
Gulfport,MS,74621
Bayonne,NJ,74532
Greenville,SC,74371
San Marcos,TX,74316
Redlands,CA,74279
West Des Moines,IA,73664
Johnson City,TN,73635
Lake Elsinore,CA,73595
Framingham,MA,73361
Kalamazoo,MI,73290
Wilmington,DE,73176
Caldwell,ID,73088
Turlock,CA,72888
Maple Grove,MN,72739
Tulare,CA,72601
St. Charles,MO,72458
Eau Claire,WI,72331
Harlingen,TX,72234
St. Cloud,MN,72145
Mount Vernon,NY,71999
East Orange,NJ,71850
Lafayette,IN,71757
Camden,NJ,71749
Dothan,AL,71650
Waukesha,WI,71461
North Richland Hills,TX,71436
St. Joseph,MO,71098
St. Cloud,FL,71036
Jacksonville,NC,70840
Walnut Creek,CA,70817
Eastvale,CA,70751
Passaic,NJ,70722
Conway,AR,70711
Gaithersburg,MD,70686
Weston,FL,70674
Grand Junction,CO,70554
Dublin,CA,70544
Ocala,FL,70251
Commerce City,CO,70245
Delray Beach,FL,70140
Camarillo,CA,69881
Shawnee,KS,69724
Portland,ME,69568
Idaho Falls,ID,69523
Schenectady,NY,69495
Jackson,TN,69303
Baldwin Park,CA,69247
Canton,OH,69211
Yuba City,CA,69148
Madera,CA,69094
Ames,IA,69026
Casa Grande,AZ,68927
Decatur,IL,68763
Lodi,CA,68642
Rockville,MD,68417
Haverhill,MA,68291
Greenwood,IN,68175
Rowlett,TX,68123
Redondo Beach,CA,68075
Novi,MI,67675
Palo Alto,CA,67658
Gary,IN,67555
Waterloo,IA,67477
Alpharetta,GA,67275
Oshkosh,WI,67242
Eagan,MN,67240
Davis,CA,67125
