label,stations_opened,yoy_change,yoy_pct_change
Average since 2013,,,32.65833333333333
2024,12718.0,-53.0,-0.4
2023,12771.0,1300.0,11.3
2022,11471.0,-4750.0,-29.3
2021,16221.0,9064.0,126.6
2020,7157.0,3620.0,102.3
2019,3537.0,869.0,32.6
2018,2668.0,545.0,25.7
2017,2123.0,298.0,16.3
2016,1825.0,10.0,0.6
2015,1815.0,746.0,69.8
2014,1069.0,528.0,97.6
2013,541.0,-852.0,-61.2
2012,1393.0,439.0,46.0
2011,954.0,905.0,1846.9
2010,49.0,37.0,308.3
2009,12.0,-6.0,-33.3
2008,18.0,15.0,500.0
2006,3.0,0.0,0.0
2005,3.0,-12.0,-80.0
2004,15.0,0.0,0.0
2002,15.0,14.0,1400.0
2001,1.0,-2.0,-66.7
2000,3.0,-9.0,-75.0
1999,12.0,-1.0,-7.7
1998,13.0,7.0,116.7
1997,6.0,5.0,500.0
1995,1.0,,
