state_abbrev,avg_age,older_than_5_years
DC,5.4,2
MD,4.3,75
VA,4.0,70
OK,4.0,26
WY,3.9,11
RI,3.8,5
OR,3.8,75
UT,3.8,30
CA,3.8,500
MT,3.8,10
AZ,3.7,42
ME,3.6,21
SD,3.6,9
NV,3.5,25
HI,3.4,10
AK,3.3,3
DE,3.2,11
NH,3.2,12
WA,3.1,81
FL,3.1,98
MO,3.1,29
CT,3.1,34
ID,3.1,13
CO,3.0,48
WV,3.0,10
NC,3.0,45
MI,2.9,42
NE,2.9,6
GA,2.9,54
IL,2.9,57
NJ,2.9,54
KS,2.9,10
IN,2.8,27
NY,2.8,82
ND,2.7,0
OH,2.7,54
PA,2.7,39
KY,2.6,14
TX,2.6,127
MN,2.5,23
MA,2.5,54
LA,2.5,11
TN,2.5,33
SC,2.4,23
WI,2.4,18
NM,2.4,16
VT,2.4,7
AL,2.3,16
AR,2.3,6
IA,2.0,10
MS,2.0,5
