Station Name,Street Address,City,state_abbrev,ZIP,Open Date,EV Network,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Access Days Time,Latitude,Longitude,EV Pricing,EV Connector Types,Facility Type
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,10/15/1999,SHELL_RECHARGE,,57,2,Fleet use only,34.24831915,-118.3879714,,CHADEMO J1772 J1772COMBO,UTILITY
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,8/30/1995,Non-Networked,,7,,5:30am-9pm; pay lot,34.040539,-118.271387,Free; parking fee,J1772,PARKING_GARAGE
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,10/15/1999,Non-Networked,,338,12,For fleet and employee use only,34.059133,-118.248589,,CHADEMO J1772 J1772COMBO,UTILITY
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,5/1/2018,Non-Networked,,19,1,Fleet use only,33.759802,-118.096665,,CHADEMO J1772 J1772COMBO,UTILITY
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,10/15/1999,Non-Networked,,10,,Fleet use only,33.770508,-118.265628,,J1772,UTILITY
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,1/1/2016,Non-Networked,,2,,Fleet use only,34.30309,-118.480505,Free,J1772,UTILITY
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,10/15/1999,Non-Networked,,46,1,Fleet and employee use only,34.066801,-118.227605,,CHADEMO J1772,UTILITY
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,4/1/2019,Non-Networked,,13,,Fleet use only,34.036777,-118.368841,Free,J1772,UTILITY
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,10/15/1999,Non-Networked,,27,,Fleet use only,34.039736,-118.236065,,J1772,UTILITY
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,7/30/1997,Non-Networked,,1,,24 hours daily,32.89947,-117.243,Free; parking fee,J1772,HOSPITAL
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,12/11/2012,Non-Networked,,2,,Dealership business hours; customer use only,34.221665,-118.468371,Free,J1772,CAR_DEALER
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,8/30/1997,Non-Networked,,4,,6am-12am daily,33.909914,-117.459053,Free,J1772,SHOPPING_MALL
