year,state,yoy_increase
2024.0,MA,160
2024.0,FL,141
2024.0,TX,141
2024.0,GA,119
2024.0,MN,86
2024.0,NY,83
2024.0,OR,68
2024.0,WI,49
2024.0,AL,43
2024.0,VT,38
2024.0,NJ,36
2024.0,IL,28
2024.0,IA,28
2024.0,HI,27
2024.0,OH,24
2024.0,KY,22
2024.0,NM,20
2024.0,OK,19
2024.0,WV,15
2024.0,ID,13
2024.0,AZ,12
2024.0,DE,10
2024.0,PR,8
2024.0,KS,4
2024.0,IN,4
2024.0,RI,3
2024.0,AK,1
2024.0,MS,0
2024.0,NH,-2
2024.0,NE,-2
2024.0,MT,-2
2024.0,ND,-6
2024.0,SD,-8
2024.0,LA,-8
2024.0,WY,-13
2024.0,UT,-15
2024.0,VA,-16
2024.0,DC,-24
2024.0,ME,-26
2024.0,NV,-27
2024.0,MI,-33
2024.0,SC,-33
2024.0,TN,-34
2024.0,CT,-40
2024.0,NC,-42
2024.0,CO,-60
2024.0,AR,-65
2024.0,PA,-81
2024.0,MD,-82
2024.0,MO,-86
2024.0,WA,-120
2024.0,CA,-430
2023.0,CT,278
2023.0,WA,221
2023.0,MO,132
2023.0,NC,126
2023.0,CA,115
2023.0,VA,113
2023.0,CO,77
2023.0,MD,67
2023.0,OR,66
2023.0,PA,66
2023.0,TN,66
2023.0,SC,47
2023.0,NM,41
2023.0,MN,40
2023.0,GA,37
2023.0,AR,34
2023.0,IN,27
2023.0,KS,25
2023.0,MS,24
2023.0,IL,19
2023.0,NV,17
2023.0,SD,13
2023.0,ND,12
2023.0,ID,12
2023.0,IA,12
2023.0,OK,10
2023.0,WY,9
2023.0,LA,8
2023.0,DC,7
2023.0,KY,6
2023.0,AL,6
2023.0,NH,3
2023.0,UT,2
2023.0,DE,1
2023.0,PR,0
2023.0,MT,-1
2023.0,WI,-1
2023.0,MA,-2
2023.0,NJ,-3
2023.0,NE,-4
2023.0,HI,-5
2023.0,AK,-9
2023.0,WV,-12
2023.0,VT,-18
2023.0,AZ,-19
2023.0,ME,-22
2023.0,RI,-28
2023.0,OH,-38
2023.0,MI,-52
2023.0,FL,-53
2023.0,TX,-60
2023.0,NY,-112
2022.0,NJ,170
2022.0,FL,114
2022.0,MI,107
2022.0,CT,104
2022.0,AL,61
2022.0,OH,58
2022.0,TX,50
2022.0,LA,48
2022.0,IN,47
2022.0,ME,46
2022.0,AR,33
2022.0,PA,30
2022.0,WI,26
2022.0,MT,22
2022.0,NH,20
2022.0,WV,11
2022.0,SC,9
2022.0,WY,9
2022.0,MS,8
2022.0,PR,5
2022.0,SD,1
2022.0,AK,-1
2022.0,KY,-2
2022.0,ND,-3
2022.0,ID,-5
2022.0,VT,-7
2022.0,OK,-9
