state_abbrev,dominating_network,network_free_count,total_free_stations,pct_share_of_free
AK,Non-Networked,29,34,85.3
AK,Tesla Destination,5,34,14.7
AL,Non-Networked,67,125,53.6
AL,Tesla Destination,52,125,41.6
AL,Blink Network,4,125,3.2
AL,ChargePoint Network,2,125,1.6
AR,Tesla Destination,43,95,45.3
AR,Blink Network,26,95,27.4
AR,Non-Networked,25,95,26.3
AR,ChargePoint Network,1,95,1.1
AZ,Tesla Destination,121,300,40.3
AZ,Blink Network,99,300,33.0
AZ,Non-Networked,80,300,26.7
CA,Tesla Destination,963,1786,53.9
CA,Non-Networked,591,1786,33.1
CA,Blink Network,179,1786,10.0
CA,POWERFLEX,22,1786,1.2
CA,SWTCH,9,1786,0.5
CA,ChargePoint Network,8,1786,0.4
CA,EV Connect,3,1786,0.2
CA,Enel X Way,2,1786,0.1
CA,CHARGIE,2,1786,0.1
CA,UNIVERSAL,1,1786,0.1
CA,SHELL_RECHARGE,2,1786,0.1
CA,eVgo Network,1,1786,0.1
CA,FLO,1,1786,0.1
CA,LOOP,1,1786,0.1
CA,EVOKE,1,1786,0.1
CO,Non-Networked,124,266,46.6
CO,Tesla Destination,114,266,42.9
CO,Blink Network,19,266,7.1
CO,ChargePoint Network,4,266,1.5
CO,EVOKE,3,266,1.1
CO,POWERFLEX,1,266,0.4
CT,Non-Networked,144,219,65.8
CT,Tesla Destination,54,219,24.7
CT,Blink Network,12,219,5.5
CT,SWTCH,5,219,2.3
CT,AMPUP,4,219,1.8
DC,Tesla Destination,44,66,66.7
DC,Blink Network,14,66,21.2
DC,Non-Networked,8,66,12.1
DE,Non-Networked,18,27,66.7
DE,Tesla Destination,7,27,25.9
DE,Blink Network,2,27,7.4
FL,Tesla Destination,459,772,59.5
FL,Non-Networked,186,772,24.1
FL,Blink Network,121,772,15.7
FL,ChargePoint Network,2,772,0.3
FL,CHARGELAB,1,772,0.1
FL,SWTCH,1,772,0.1
FL,EVOKE,1,772,0.1
FL,FPLEV,1,772,0.1
GA,Tesla Destination,197,356,55.3
GA,Non-Networked,109,356,30.6
GA,Blink Network,43,356,12.1
GA,SWTCH,6,356,1.7
GA,RED_E,1,356,0.3
HI,Non-Networked,44,60,73.3
HI,Tesla Destination,12,60,20.0
HI,Blink Network,3,60,5.0
HI,EVOKE,1,60,1.7
IA,Non-Networked,35,74,47.3
IA,Tesla Destination,25,74,33.8
IA,Blink Network,13,74,17.6
IA,TURNONGREEN,1,74,1.4
ID,Tesla Destination,25,48,52.1
ID,Non-Networked,19,48,39.6
ID,Blink Network,4,48,8.3
IL,Non-Networked,133,299,44.5
IL,Tesla Destination,125,299,41.8
IL,Blink Network,40,299,13.4
IL,SWTCH,1,299,0.3
IN,Tesla Destination,54,106,50.9
IN,Non-Networked,42,106,39.6
IN,Blink Network,10,106,9.4
KS,Non-Networked,37,66,56.1
KS,Tesla Destination,23,66,34.8
KS,Blink Network,6,66,9.1
KY,Non-Networked,49,97,50.5
KY,Tesla Destination,43,97,44.3
KY,Blink Network,5,97,5.2
LA,Tesla Destination,40,79,50.6
LA,Non-Networked,38,79,48.1
LA,Blink Network,1,79,1.3
MD,Non-Networked,185,271,68.3
MD,Tesla Destination,62,271,22.9
MD,Blink Network,23,271,8.5
MD,SWTCH,1,271,0.4
ME,Non-Networked,83,156,53.2
ME,Tesla Destination,71,156,45.5
ME,SWTCH,2,156,1.3
MI,Non-Networked,152,241,63.1
MI,Tesla Destination,70,241,29.0
MI,Blink Network,9,241,3.7
MI,SWTCH,4,241,1.7
MI,RED_E,4,241,1.7
MI,AMPUP,1,241,0.4
MI,CHARGIE,1,241,0.4
MN,Tesla Destination,76,149,51.0
MN,Non-Networked,60,149,40.3
MN,Blink Network,11,149,7.4
MN,RED_E,1,149,0.7
MN,ChargePoint Network,1,149,0.7
MO,Tesla Destination,71,133,53.4
MO,Non-Networked,48,133,36.1
MO,Blink Network,14,133,10.5
MS,Tesla Destination,38,64,59.4
MS,Non-Networked,26,64,40.6
MT,Tesla Destination,24,43,55.8
MT,Non-Networked,17,43,39.5
MT,Blink Network,2,43,4.7
NC,Non-Networked,163,330,49.4
NC,Tesla Destination,132,330,40.0
NC,Blink Network,26,330,7.9
NC,SWTCH,5,330,1.5
NC,ChargePoint Network,3,330,0.9
NC,TURNONGREEN,1,330,0.3
ND,Non-Networked,18,22,81.8
ND,Tesla Destination,3,22,13.6
ND,Blink Network,1,22,4.5
NE,Tesla Destination,9,19,47.4
NE,Non-Networked,7,19,36.8
NE,Blink Network,2,19,10.5
NE,SWTCH,1,19,5.3
NH,Non-Networked,53,89,59.6
NH,Tesla Destination,33,89,37.1
NH,Blink Network,2,89,2.2
NH,SWTCH,1,89,1.1
NJ,Tesla Destination,75,168,44.6
NJ,Non-Networked,56,168,33.3
NJ,Blink Network,29,168,17.3
NJ,EVOKE,8,168,4.8
NM,Tesla Destination,28,42,66.7
NM,Non-Networked,13,42,31.0
NM,Blink Network,1,42,2.4
NV,Tesla Destination,83,108,76.9
NV,Non-Networked,20,108,18.5
NV,Blink Network,4,108,3.7
NV,SWTCH,1,108,0.9
NY,Tesla Destination,504,864,58.3
NY,Non-Networked,170,864,19.7
NY,Blink Network,83,864,9.6
NY,EVOKE,74,864,8.6
NY,SWTCH,27,864,3.1
NY,ChargePoint Network,2,864,0.2
NY,EV Connect,2,864,0.2
NY,RED_E,1,864,0.1
NY,AMPUP,1,864,0.1
OH,Non-Networked,140,290,48.3
OH,Tesla Destination,116,290,40.0
OH,Blink Network,26,290,9.0
OH,SWTCH,5,290,1.7
OH,AMPUP,2,290,0.7
OH,POWERFLEX,1,290,0.3
OK,Non-Networked,59,98,60.2
OK,Tesla Destination,32,98,32.7
OK,Blink Network,4,98,4.1
OK,ChargePoint Network,2,98,2.0
OK,RED_E,1,98,1.0
OR,Tesla Destination,121,278,43.5
OR,Non-Networked,83,278,29.9
OR,Blink Network,73,278,26.3
OR,FLO,1,278,0.4
PA,Non-Networked,177,371,47.7
PA,Tesla Destination,126,371,34.0
PA,Blink Network,65,371,17.5
PA,SWTCH,1,371,0.3
PA,ChargePoint Network,1,371,0.3
PA,EVMATCH,1,371,0.3
PR,Blink Network,6,12,50.0
PR,SWTCH,6,12,50.0
RI,Non-Networked,19,29,65.5
RI,Tesla Destination,7,29,24.1
RI,Blink Network,3,29,10.3
SC,Non-Networked,92,185,49.7
SC,Tesla Destination,81,185,43.8
SC,Blink Network,12,185,6.5
SD,Tesla Destination,23,33,69.7
SD,Non-Networked,8,33,24.2
SD,Blink Network,2,33,6.1
TN,Non-Networked,106,286,37.1
TN,Blink Network,95,286,33.2
TN,Tesla Destination,81,286,28.3
TN,SWTCH,4,286,1.4
TX,Tesla Destination,412,717,57.5
TX,Non-Networked,142,717,19.8
TX,Blink Network,140,717,19.5
TX,REVITALIZE,18,717,2.5
TX,SWTCH,4,717,0.6
TX,IN_CHARGE,1,717,0.1
UT,Tesla Destination,77,127,60.6
UT,Non-Networked,46,127,36.2
UT,Blink Network,3,127,2.4
UT,SWTCH,1,127,0.8
VA,Tesla Destination,176,387,45.5
VA,Non-Networked,171,387,44.2
VA,Blink Network,36,387,9.3
VA,UNIVERSAL,2,387,0.5
VA,ChargePoint Network,1,387,0.3
VA,LOOP,1,387,0.3
VT,Tesla Destination,50,98,51.0
VT,Non-Networked,43,98,43.9
VT,Blink Network,5,98,5.1
WA,Non-Networked,141,358,39.4
WA,Tesla Destination,134,358,37.4
WA,Blink Network,82,358,22.9
WA,RED_E,1,358,0.3
WI,Tesla Destination,75,141,53.2
WI,Non-Networked,60,141,42.6
WI,Blink Network,4,141,2.8
WI,EVOKE,1,141,0.7
WI,SWTCH,1,141,0.7
WV,Non-Networked,50,90,55.6
WV,Tesla Destination,30,90,33.3
WV,Blink Network,10,90,11.1
WY,Tesla Destination,17,35,48.6
WY,Non-Networked,14,35,40.0
WY,Blink Network,4,35,11.4
