"state_abbrev","total_ports","ports_per_100k"
"OR","4388","103.65"
"WV","564","31.86"
"CT","4791","132.45"
"OK","1746","43.07"
"SC","2086","38.82"
"PA","5799","44.74"
"ND","240","30.62"
"WY","312","53.42"
"DC","1411","207.81"
"TN","3164","44.40"
"GA","6902","62.58"
"UT","3076","90.00"
"HI","1206","84.03"
"KS","1422","48.36"
"AK","170","23.18"
"SD","306","33.29"
"MO","3405","54.95"
"AR","1081","35.24"
"MN","2972","51.80"
"OH","5321","45.15"
"NE","707","35.74"
"WA","8509","108.91"
"WI","2084","35.26"
"LA","963","21.05"
"ME","1435","102.81"
"AL","1928","37.74"
"MS","659","22.42"
"VA","6013","68.99"
"AZ","4854","65.32"
"DE","798","77.33"
"NJ","5790","62.32"
"ID","686","34.92"
"CA","70722","181.50"
"NM","1087","51.41"
"MI","4399","43.83"
"NH","836","59.63"
"FL","14052","62.15"
"NY","19770","101.02"
"PR","93","2.90"
"MT","459","40.52"
"IN","2108","30.72"
"NC","6019","55.55"
"TX","12645","41.45"
"CO","7303","124.25"
"NV","2883","90.26"
"IA","1245","38.82"
"MD","4924","79.67"
"VT","1378","212.83"
"IL","5206","41.48"
"MA","10208","145.80"
"RI","1024","93.43"
"KY","1124","24.83"
